Wall time,Step,Value
1576302390.8621752,200,1976.9173583984375
1576302416.997025,2200,1813.4576416015625
1576302445.2765243,4200,1821.359619140625
1576302482.4056294,6200,1835.0792236328125
1576302518.3105886,8200,1833.595703125
1576302568.7946777,10200,1832.017333984375
1576302607.4495883,12200,1832.31103515625
1576302643.6942408,14200,1831.9210205078125
1576302680.4107752,16200,1845.1708984375
1576302717.6007762,18200,1853.888916015625
1576302768.0452936,20200,1855.1748046875
1576302805.0188124,22200,1860.0230712890625
1576302840.841943,24200,1863.744384765625
1576302877.7184992,26200,1867.399169921875
1576302915.3712406,28200,1871.126953125
1576302966.19914,30200,1870.1895751953125
1576303003.1697688,32200,1870.502197265625
1576303040.3547986,34200,1877.8094482421875
1576303076.8780217,36200,1872.55517578125
1576303117.161797,38200,1864.189453125
1576303172.5049007,40200,1862.5252685546875
1576303212.6680768,42200,1869.66650390625
1576303251.598349,44200,1865.893310546875
1576303290.9996133,46200,1860.5054931640625
1576303331.8174431,48200,1862.64794921875
1576303387.7885885,50200,1867.8895263671875
1576303428.003839,52200,1871.6622314453125
1576303467.0953715,54200,1868.1322021484375
1576303507.1516287,56200,1865.12548828125
1576303547.5803633,58200,1869.9090576171875
1576303602.3028347,60200,1877.4017333984375
1576303642.9731662,62200,1877.96337890625
1576303682.2025692,64200,1882.1226806640625
1576303723.582957,66200,1884.811279296875
1576303764.1239345,68200,1887.09375
1576303819.3410444,70200,1888.167236328125
1576303860.219337,72200,1889.5621337890625
1576303899.4611728,74200,1895.351318359375
1576303949.1998904,76200,1897.3001708984375
1576303996.6003296,78200,1896.06591796875
1576304049.1927693,80200,1888.00439453125
1576304086.812153,82200,1885.4371337890625
1576304124.1143994,84200,1882.8238525390625
1576304162.5315127,86200,1882.482177734375
1576304200.277823,88200,1884.144287109375
1576304252.8783507,90200,1886.2449951171875
1576304290.7616944,92200,1887.3443603515625
1576304327.3580992,94200,1888.2200927734375
1576304364.891906,96200,1886.64404296875
1576304402.5486667,98200,1886.0208740234375
1576304454.0352376,100200,1886.3348388671875
1576304491.6417265,102200,1891.46240234375
1576304528.2827773,104200,1894.189453125
1576304565.7350845,106200,1893.586669921875
1576304602.7086945,108200,1889.6651611328125
1576304654.043252,110200,1891.0233154296875
1576304691.7438617,112200,1887.6605224609375
1576304728.3876767,114200,1886.621826171875
1576304765.9100478,116200,1888.6583251953125
1576304803.3728912,118200,1891.2633056640625
1576304855.8227441,120200,1889.483154296875
1576304893.1517806,122200,1884.837646484375
1576304929.8135266,124200,1884.0694580078125
1576304967.5163474,126200,1885.2022705078125
1576305007.4835498,128200,1888.7509765625
1576305064.4991372,130200,1881.875244140625
1576305103.5729365,132200,1879.54443359375
1576305146.0624502,134200,1878.6102294921875
1576305187.0237052,136200,1878.4886474609375
1576305226.3737462,138200,1876.357666015625
1576305279.196364,140200,1880.644287109375
1576305318.4840224,142200,1873.6966552734375
1576305356.671678,144200,1872.53857421875
1576305395.3421264,146200,1876.4395751953125
1576305433.9827907,148200,1871.7205810546875
1576305487.6716092,150200,1876.697509765625
1576305526.8395061,152200,1877.9295654296875
1576305563.7614238,154200,1874.5947265625
1576305602.453418,156200,1874.3201904296875
1576305640.6459959,158200,1876.2139892578125
1576305697.2163246,160200,1874.2528076171875
1576305737.9043446,162200,1878.93505859375
1576305774.4600618,164200,1882.3076171875
1576305812.2337925,166200,1877.257568359375
1576305851.4671457,168200,1873.4605712890625
1576305904.9068553,170200,1874.6793212890625
1576305944.5147755,172200,1876.648681640625
1576305982.243469,174200,1874.9989013671875
1576306021.4278755,176200,1876.03173828125
1576306062.4879918,178200,1874.6771240234375
1576306117.523819,180200,1872.346435546875
1576306156.4503882,182200,1872.691650390625
1576306193.332669,184200,1869.04052734375
1576306231.3451147,186200,1870.504150390625
1576306269.7001488,188200,1876.6431884765625
1576306322.5783765,190200,1875.9544677734375
1576306362.2799206,192200,1875.3818359375
1576306399.475729,194200,1880.176513671875
1576306437.5670145,196200,1877.6519775390625
1576306475.539898,198200,1878.504638671875
1576306527.3187435,200200,1883.06982421875
1576306567.973414,202200,1885.626953125
1576306607.3223786,204200,1892.199951171875
1576306645.8084896,206200,1890.569580078125
1576306684.448777,208200,1892.236083984375
1576306736.3118868,210200,1891.7344970703125
1576306774.575627,212200,1897.0728759765625
1576306812.422849,214200,1892.3026123046875
1576306851.3709185,216200,1897.2833251953125
1576306889.502281,218200,1894.363525390625
